alg,time,N 
0, 0.000012, 1024  
0, 0.000021, 2048  
0, 0.000035, 4096  
0, 0.000061, 8192  
0, 0.000114, 16384  
0, 0.000221, 32768  
0, 0.000421, 65536  
0, 0.000820, 131072  
0, 0.001624, 262144  
0, 0.003215, 524288  
0, 0.006417, 1048576  
1, 0.000011, 1024  
1, 0.000016, 2048  
1, 0.000031, 4096  
1, 0.000054, 8192  
1, 0.000098, 16384  
1, 0.000186, 32768  
1, 0.000362, 65536  
1, 0.000713, 131072  
1, 0.001398, 262144  
1, 0.002754, 524288  
1, 0.005446, 1048576  
2, 0.000005, 1024  
2, 0.000007, 2048  
2, 0.000017, 4096  
2, 0.000031, 8192  
2, 0.000059, 16384  
2, 0.000115, 32768  
2, 0.000226, 65536  
2, 0.000450, 131072  
2, 0.000896, 262144  
2, 0.001789, 524288  
2, 0.003574, 1048576  
